,category,desc_type,comments,descriptions,difficulty_rating,endTime,experiment_id,image,is_data_visualization,languages,minivlat_answers,prolific_id,reaction_times,self_understanding,startDate,startTime,timeSpent,topic,trial_number,endDate,minivlat_score,num_words,caption,alttext,char_count,num_words_caption,num_words_alttext,desc_caption_jaccard,desc_caption_sbert,desc_alttext_sbert,sbert_alttext_caption,question1,question10,question11,question12,question2,question3,question4,question5,question6,question7,question8,question9
40,Cloture / United States / Procedure,first,,"Line graph depicting cloture voting in the United States Senate from 1917-2014. Visualizes three lines: cloture motions filed, votes on cloture, and cloture invokes.",2,1686618016578,1,prolific/train-0-76637.png,FALSE,English,"{'question1': 'False', 'question10': '$0.71', 'question11': '1 to 2', 'question12': 'False', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '17.6%', 'question6': 'Shanghai', 'question7': '$6.1', 'question8': '$50.54', 'question9': '40.51 Mbps'}",610095f8a2dcadd3b827b5ef,83777,Well,Mon Jun 12 2023 20:48:39 GMT-0400 (Eastern Daylight Time),1686617319104,11.6245666666667,Cloture,0,Mon Jun 12 2023 21:00:16 GMT-0400 (Eastern Daylight Time),12,29,"Cloture voting in the United States Senate , 1917−2014.[43]","Number of cloture motions filed, voted on, and invoked by the U.S. Senate, 1917−2014.",166,13,18,0.625,0.7333067655563350,0.6520209312438970,0.7685588598251340,1,1,1,1,1,1,1,1,1,1,1,1
41,Ernie Toshack with the Australian cricket team in England in 1948 / Role,first,,"The image is a bar graph showing Ernie Roshack's first-class batting performace during the 1948 England tour. There are pink bars that represent runs scored during first-class innings. The red bars represent Test innings. There are 12 spots for bars to be- in which there are 11. The first 5 are pink, followed by red, pink, red, pink, red, and pink. There is also a blue line going through the last 7 bars indicating the averages.",4,1686618016578,1,prolific/train-0-24640.png,TRUE,English,"{'question1': 'False', 'question10': '$0.71', 'question11': '1 to 2', 'question12': 'False', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '17.6%', 'question6': 'Shanghai', 'question7': '$6.1', 'question8': '$50.54', 'question9': '40.51 Mbps'}",610095f8a2dcadd3b827b5ef,170512,Well,Mon Jun 12 2023 20:48:39 GMT-0400 (Eastern Daylight Time),1686617319104,11.6245666666667,Ernie Toshack with the Australian cricket team in England in 1948,1,Mon Jun 12 2023 21:00:16 GMT-0400 (Eastern Daylight Time),12,89,"A chart showing Toshack's batting performance during the tour. The runs scored per innings are represented by the bars, with the red bars being Test innings and the pink bars being other first-class innings. The blue line is the average of the five most recent innings and the dots indicate not outs.[10]","Toshack started the season with five first-class innings outside the Tests, and all were less than 10 and four were less than five, none were not out. He then scored two scores between 15 and 20 in the Tests, with a score of four outside the Tests in between. After scores of 1 and zero not out in the next two tour matches, he scored 12 not out in his third and final Test innings. He then finished with two in a tour match. All of his efforts beyond ten were in Tests, and he passed ten in all three Test innings, two of these being not out.",432,60,119,0.7073170731707320,0.7484798431396480,0.43009352684021000,0.6793749332427980,1,1,1,1,1,1,1,1,1,1,1,1
42,Bootham Crescent / Records,first,,"A line chart indicating the average and highest league attendances at Bootham Crescent from the 1932-2015 seasons. There is a blue line representing the highest attendance, and a black line representing the average for each season.",3,1686618016578,1,prolific/train-0-62319.png,FALSE,English,"{'question1': 'False', 'question10': '$0.71', 'question11': '1 to 2', 'question12': 'False', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '17.6%', 'question6': 'Shanghai', 'question7': '$6.1', 'question8': '$50.54', 'question9': '40.51 Mbps'}",610095f8a2dcadd3b827b5ef,125438,Well,Mon Jun 12 2023 20:48:39 GMT-0400 (Eastern Daylight Time),1686617319104,11.6245666666667,Bootham Crescent,2,Mon Jun 12 2023 21:00:16 GMT-0400 (Eastern Daylight Time),12,39,York City's highest and average league attendances at Bootham Crescent from the 1932–33 season,Graph showing the highest and average league attendances at the Bootham Crescent association football ground,232,15,15,0.6578947368421050,0.7566137909889220,0.8051982522010800,0.6745055317878720,1,1,1,1,1,1,1,1,1,1,1,1
43,History of Georgetown University / Early growth / Early student life,first,,"The graph includes Academy and College starting in 1791, Medical School starting in 1851, and Law School starting in 1871",4,1686618163411,1,prolific/train-0-75149.png,TRUE,english,"{'question1': 'False', 'question10': '$0.71', 'question11': '1 to 3', 'question12': 'False', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '17.6%', 'question6': 'Shanghai', 'question7': 'Skip', 'question8': '$50.54', 'question9': '40.51 Mbps'}",5fbaaa41780852ac5a8c000b,102204,Well,Mon Jun 12 2023 19:43:41 GMT-0500 (Central Daylight Time),1686617021961,19.0241666666667,History of Georgetown University,0,Mon Jun 12 2023 20:02:43 GMT-0500 (Central Daylight Time),10,22,Graph of student enrollment 1791—1888,"A line graph of years from 1791 to 1888 with three subjects, the first in blue representing the Academy and College rises up from 69 in 1791 to 333 at its peak in 1857 followed by sudden drop and leveling around 200. The second, in red, represents the Medical School and begins in 1851 quickly peaking at 127 and then falling again while the third, in yellow, represents the law school which begins in 1871 and steadily rises to 168.",121,5,87,0.5294117647058820,0.6136054396629330,0.8232847452163700,0.6250074505805970,1,1,0,1,1,1,1,1,1,0,1,1
44,Nutaarmiut / Population,first,,"In 1991 the population was 126. In 1992 it was 152. In 1993 it was 163. 1994, 189. 1995, 188. 1996, 203. 1997, 212. 1998, 202. 1999, 211. 2000, 198. 2001, 196. 2002, 214. 2003, 185. 2004, 177. 2005, 180. 2006, 183. 2007, 190. 2008, 173. 2009, 173. 2010, 188.",2,1686618163411,1,prolific/train-0-89137.png,TRUE,english,"{'question1': 'False', 'question10': '$0.71', 'question11': '1 to 3', 'question12': 'False', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '17.6%', 'question6': 'Shanghai', 'question7': 'Skip', 'question8': '$50.54', 'question9': '40.51 Mbps'}",5fbaaa41780852ac5a8c000b,329368,Well,Mon Jun 12 2023 19:43:41 GMT-0500 (Central Daylight Time),1686617021961,19.0241666666667,Saqqaq,1,Mon Jun 12 2023 20:02:43 GMT-0500 (Central Daylight Time),10,87,Nutaarmiut population growth dynamics in the last two decades. Source: Statistics Greenland[2],Nutaarmiut population dynamics,258,17,3,0.39473684210526300,0.348520427942276,0.38615816831588700,0.7758365869522100,1,1,0,1,1,1,1,1,1,0,1,1
45,Cloture / United States / Procedure,first,,"The graph includes cloture motions filed peaking at 140 in 2007-2008, votes on cloture peaking at 110 in 2007-2008, and cloture invoked peaking at approximately 61 in 2009-2010.",5,1686618163411,1,prolific/train-0-76637.png,TRUE,english,"{'question1': 'False', 'question10': '$0.71', 'question11': '1 to 3', 'question12': 'False', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '17.6%', 'question6': 'Shanghai', 'question7': 'Skip', 'question8': '$50.54', 'question9': '40.51 Mbps'}",5fbaaa41780852ac5a8c000b,145037,Well,Mon Jun 12 2023 19:43:41 GMT-0500 (Central Daylight Time),1686617021961,19.0241666666667,Cloture,2,Mon Jun 12 2023 20:02:43 GMT-0500 (Central Daylight Time),10,31,"Cloture voting in the United States Senate , 1917−2014.[43]","Number of cloture motions filed, voted on, and invoked by the U.S. Senate, 1917−2014.",177,13,18,0.5609756097560980,0.4887271225452420,0.5098680257797240,0.7685588598251340,1,1,0,1,1,1,1,1,1,0,1,1
46,History of Georgetown University / Early growth / Early student life,first,,"Enrollment grew over time for Academy & College and Law School, while enrollment fell and rose again for medical school. Enrollment is volatile.",5,1686618419585,1,prolific/train-0-75149.png,TRUE,English,"{'question1': 'False', 'question10': '$0.71', 'question11': '1 to 3', 'question12': 'False', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '17.6%', 'question6': 'Shanghai', 'question7': '$6.1', 'question8': '$50.54', 'question9': '40.51 Mbps'}",631e4eaec6b4eb65bfc51709,80671,Little,Mon Jun 12 2023 20:57:04 GMT-0400 (Eastern Daylight Time),1686617824373,9.9202,History of Georgetown University,0,Mon Jun 12 2023 21:06:59 GMT-0400 (Eastern Daylight Time),11,26,Graph of student enrollment 1791—1888,"A line graph of years from 1791 to 1888 with three subjects, the first in blue representing the Academy and College rises up from 69 in 1791 to 333 at its peak in 1857 followed by sudden drop and leveling around 200. The second, in red, represents the Medical School and begins in 1851 quickly peaking at 127 and then falling again while the third, in yellow, represents the law school which begins in 1871 and steadily rises to 168.",144,5,87,0.37142857142857100,0.4720582962036130,0.5936214923858640,0.6250074505805970,1,1,0,1,1,1,1,1,1,1,1,1
47,Bootham Crescent / Records,first,,Two time series are displayed: Highest with mean approximately 10000 and Average with mean approximately 5000.,5,1686618419585,1,prolific/train-0-62319.png,TRUE,English,"{'question1': 'False', 'question10': '$0.71', 'question11': '1 to 3', 'question12': 'False', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '17.6%', 'question6': 'Shanghai', 'question7': '$6.1', 'question8': '$50.54', 'question9': '40.51 Mbps'}",631e4eaec6b4eb65bfc51709,53008,Little,Mon Jun 12 2023 20:57:04 GMT-0400 (Eastern Daylight Time),1686617824373,9.9202,Bootham Crescent,1,Mon Jun 12 2023 21:06:59 GMT-0400 (Eastern Daylight Time),11,18,York City's highest and average league attendances at Bootham Crescent from the 1932–33 season,Graph showing the highest and average league attendances at the Bootham Crescent association football ground,110,15,15,0.4358974358974360,0.13028010725975000,0.30091309547424300,0.6745055317878720,1,1,0,1,1,1,1,1,1,1,1,1
48,Anatomy of an Epidemic / Synopsis / Magic bullets,first,,More Americans received SSDI and SSI for mental disability in 2003 than in 1987 and not many SSDI recipients also received an SSI payment.,5,1686618419585,1,prolific/train-0-29695.png,TRUE,English,"{'question1': 'False', 'question10': '$0.71', 'question11': '1 to 3', 'question12': 'False', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '17.6%', 'question6': 'Shanghai', 'question7': '$6.1', 'question8': '$50.54', 'question9': '40.51 Mbps'}",631e4eaec6b4eb65bfc51709,112647,Little,Mon Jun 12 2023 20:57:04 GMT-0400 (Eastern Daylight Time),1686617824373,9.9202,Anatomy of an Epidemic,2,Mon Jun 12 2023 21:06:59 GMT-0400 (Eastern Daylight Time),11,25,"Number of Americans who received SSDI and SSI for mental disability in 1987 (blue) when Eli Lilly and Company introduced the antidepressive drug Prozac, compared to 2003 (red).",Chart showing increase (in red) over baseline (in blue) between 1987 and 2003,138,34,17,0.7045454545454550,0.7114145755767820,0.17150837182998700,0.1799975037574770,1,1,0,1,1,1,1,1,1,1,1,1
49,Great Southern Group / Fall,first,,A graph of Great Southern Group assets.  It shows their net and total assets from 1999 to 2008.,3,1686618623311,1,prolific/train-0-105181.jpg,TRUE,English,"{'question1': 'False', 'question10': '$0.71', 'question11': 'Skip', 'question12': 'Skip', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '17.6%', 'question6': 'Shanghai', 'question7': '$5.2', 'question8': '$50.54', 'question9': '42.30 Mbps'}",56bae08f30d6b30005f8537a,37347,Little,Mon Jun 12 2023 17:16:57 GMT-0700 (Pacific Daylight Time),1686615417165,53.4357666666667,Great Southern Group,0,Mon Jun 12 2023 18:10:23 GMT-0700 (Pacific Daylight Time),8,20,"Great Southern Group's assets. Net assets were ultimately limited by the company's ""unsustainable levels"" of debt.[4]","area graph with years on the x-axis, ranging from 1999 to 2008, and thousands of dollars on the y-axis. Two areas are shown: net assets climb until 2005 then stay at a similar level to 2008, below the 800 million dollar line; gross assets climb above net assets and are still increasing in 2008, where they are near the 1.8 billion dollar line",95,25,70,0.5263157894736840,0.6727008819580080,0.5840213298797610,0.34356820583343500,1,1,0,0,1,1,1,1,1,0,1,0
50,History of Georgetown University / Early growth / Early student life,first,,"A graph showing Georgetown University Enrollment from 1791 to 1888.  It shows Academy and College, Medical School, and Law School enrollments.",2,1686618623311,1,prolific/train-0-75149.png,TRUE,English,"{'question1': 'False', 'question10': '$0.71', 'question11': 'Skip', 'question12': 'Skip', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '17.6%', 'question6': 'Shanghai', 'question7': '$5.2', 'question8': '$50.54', 'question9': '42.30 Mbps'}",56bae08f30d6b30005f8537a,117743,Little,Mon Jun 12 2023 17:16:57 GMT-0700 (Pacific Daylight Time),1686615417165,53.4357666666667,History of Georgetown University,1,Mon Jun 12 2023 18:10:23 GMT-0700 (Pacific Daylight Time),8,25,Graph of student enrollment 1791—1888,"A line graph of years from 1791 to 1888 with three subjects, the first in blue representing the Academy and College rises up from 69 in 1791 to 333 at its peak in 1857 followed by sudden drop and leveling around 200. The second, in red, represents the Medical School and begins in 1851 quickly peaking at 127 and then falling again while the third, in yellow, represents the law school which begins in 1871 and steadily rises to 168.",142,5,87,0.5135135135135140,0.8075344562530520,0.6786019802093510,0.6250074505805970,1,1,0,0,1,1,1,1,1,0,1,0
51,Nutaarmiut / Population,first,,A bar graph displaying Nutarrmiut population over the years of 1991 to 2010.,3,1686618623311,1,prolific/train-0-89137.png,TRUE,English,"{'question1': 'False', 'question10': '$0.71', 'question11': 'Skip', 'question12': 'Skip', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '17.6%', 'question6': 'Shanghai', 'question7': '$5.2', 'question8': '$50.54', 'question9': '42.30 Mbps'}",56bae08f30d6b30005f8537a,63928,Little,Mon Jun 12 2023 17:16:57 GMT-0700 (Pacific Daylight Time),1686615417165,53.4357666666667,Saqqaq,2,Mon Jun 12 2023 18:10:23 GMT-0700 (Pacific Daylight Time),8,14,Nutaarmiut population growth dynamics in the last two decades. Source: Statistics Greenland[2],Nutaarmiut population dynamics,76,17,3,0.5882352941176470,0.6191670298576360,0.7054927945137020,0.7758365869522100,1,1,0,0,1,1,1,1,1,0,1,0
52,Great Southern Group / Fall,first,,"Steady rise from $200,000 in 1999 to a peak of $1.8m in 2008",2,1686618649822,1,prolific/train-0-105181.jpg,TRUE,English,"{'question1': 'False', 'question10': '$0.71', 'question11': 'Skip', 'question12': 'Skip', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '25.3%', 'question6': 'Skip', 'question7': 'Skip', 'question8': '$50.54', 'question9': '40.51 Mbps'}",6479f2a05e037dbc74dc027d,170300,Very little,Tue Jun 13 2023 01:50:49 GMT+0100 (West Africa Standard Time),1686617449498,20.0054,Great Southern Group,0,Tue Jun 13 2023 02:10:49 GMT+0100 (West Africa Standard Time),7,15,"Great Southern Group's assets. Net assets were ultimately limited by the company's ""unsustainable levels"" of debt.[4]","area graph with years on the x-axis, ranging from 1999 to 2008, and thousands of dollars on the y-axis. Two areas are shown: net assets climb until 2005 then stay at a similar level to 2008, below the 800 million dollar line; gross assets climb above net assets and are still increasing in 2008, where they are near the 1.8 billion dollar line",60,25,70,0.42105263157894700,0.21317167580127700,0.5284435153007510,0.34356820583343500,1,1,0,0,1,1,1,0,0,0,1,1
53,Federal political financing in Canada / Private funding / Cost of fundraising,first,,"The conservative party is shown to have $19 fundraising cost, Liberal party has $9, New Democratic party has $4, and the total top 3 parties have $30.",4,1686618649822,1,prolific/train-0-14152.png,TRUE,English,"{'question1': 'False', 'question10': '$0.71', 'question11': 'Skip', 'question12': 'Skip', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '25.3%', 'question6': 'Skip', 'question7': 'Skip', 'question8': '$50.54', 'question9': '40.51 Mbps'}",6479f2a05e037dbc74dc027d,354301,Very little,Tue Jun 13 2023 01:50:49 GMT+0100 (West Africa Standard Time),1686617449498,20.0054,Federal political financing in Canada,1,Tue Jun 13 2023 02:10:49 GMT+0100 (West Africa Standard Time),7,35,Party-level fundraising costs vs. party-level contributions raised at top three Canadian federal parties in 2009 (source: Elections Canada[4]),Party-level fundraising costs vs. party-level contributions raised at top three Canadian federal parties in 2009,150,24,15,0.5454545454545450,0.6876143217086790,0.6834850907325750,0.9773972630500790,1,1,0,0,1,1,1,0,0,0,1,1
54,Bootham Crescent / Records,first,,"The attendance rises from below 5000 and peaks at 22000, then begins to fluctuate until it drops up 4000 again.",5,1686618649822,1,prolific/train-0-62319.png,TRUE,English,"{'question1': 'False', 'question10': '$0.71', 'question11': 'Skip', 'question12': 'Skip', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '25.3%', 'question6': 'Skip', 'question7': 'Skip', 'question8': '$50.54', 'question9': '40.51 Mbps'}",6479f2a05e037dbc74dc027d,78656,Very little,Tue Jun 13 2023 01:50:49 GMT+0100 (West Africa Standard Time),1686617449498,20.0054,Bootham Crescent,2,Tue Jun 13 2023 02:10:49 GMT+0100 (West Africa Standard Time),7,22,York City's highest and average league attendances at Bootham Crescent from the 1932–33 season,Graph showing the highest and average league attendances at the Bootham Crescent association football ground,111,15,15,0.5,0.22555020451545700,0.4348030686378480,0.6745055317878720,1,1,0,0,1,1,1,0,0,0,1,1
55,History of Georgetown University / Early growth / Early student life,first,,line graph showing changes in enrollment for Georgetown University between 1791-1888 with the year on the x axis and the number of students on the y axis,1,1686618680513,1,prolific/train-0-75149.png,TRUE,english,"{'question1': 'False', 'question10': '$0.71', 'question11': '1 to 2', 'question12': 'False', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '35.2%', 'question6': 'Shanghai', 'question7': '$7.5', 'question8': '$50.54', 'question9': '40.51 Mbps'}",64878a5d500947c9341510b8,90122,Well,Mon Jun 12 2023 19:56:56 GMT-0500 (Central Daylight Time),1686617816436,14.4012833333333,History of Georgetown University,0,Mon Jun 12 2023 20:11:20 GMT-0500 (Central Daylight Time),10,27,Graph of student enrollment 1791—1888,"A line graph of years from 1791 to 1888 with three subjects, the first in blue representing the Academy and College rises up from 69 in 1791 to 333 at its peak in 1857 followed by sudden drop and leveling around 200. The second, in red, represents the Medical School and begins in 1851 quickly peaking at 127 and then falling again while the third, in yellow, represents the law school which begins in 1871 and steadily rises to 168.",153,5,87,0.6451612903225810,0.8189666271209720,0.6099436283111570,0.6250074505805970,1,1,1,1,1,1,1,0,1,0,1,1
56,Great Southern Group / Fall,first,,line graph depicting Great Southern Group assets by year from 1999-2008. Total assets and net assets are plotted on the same chart to show that net assets lag considerably behind total assets beginning in 2004.,4,1686618680513,1,prolific/train-0-105181.jpg,TRUE,english,"{'question1': 'False', 'question10': '$0.71', 'question11': '1 to 2', 'question12': 'False', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '35.2%', 'question6': 'Shanghai', 'question7': '$7.5', 'question8': '$50.54', 'question9': '40.51 Mbps'}",64878a5d500947c9341510b8,146968,Well,Mon Jun 12 2023 19:56:56 GMT-0500 (Central Daylight Time),1686617816436,14.4012833333333,Great Southern Group,1,Mon Jun 12 2023 20:11:20 GMT-0500 (Central Daylight Time),10,37,"Great Southern Group's assets. Net assets were ultimately limited by the company's ""unsustainable levels"" of debt.[4]","area graph with years on the x-axis, ranging from 1999 to 2008, and thousands of dollars on the y-axis. Two areas are shown: net assets climb until 2005 then stay at a similar level to 2008, below the 800 million dollar line; gross assets climb above net assets and are still increasing in 2008, where they are near the 1.8 billion dollar line",210,25,70,0.631578947368421,0.5932037830352780,0.648614227771759,0.34356820583343500,1,1,1,1,1,1,1,0,1,0,1,1
57,Bootham Crescent / Records,first,,line graphs depicting York City FCs league attendance at Bootham Crescent from 1932 through 2012.  Two lines are shown - one depicting the highest attendance and one depicting the average attendance.Year is shown on the x axis and attendance is shown on the y axis.,4,1686618680513,1,prolific/train-0-62319.png,TRUE,english,"{'question1': 'False', 'question10': '$0.71', 'question11': '1 to 2', 'question12': 'False', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '35.2%', 'question6': 'Shanghai', 'question7': '$7.5', 'question8': '$50.54', 'question9': '40.51 Mbps'}",64878a5d500947c9341510b8,159257,Well,Mon Jun 12 2023 19:56:56 GMT-0500 (Central Daylight Time),1686617816436,14.4012833333333,Bootham Crescent,2,Mon Jun 12 2023 20:11:20 GMT-0500 (Central Daylight Time),10,47,York City's highest and average league attendances at Bootham Crescent from the 1932–33 season,Graph showing the highest and average league attendances at the Bootham Crescent association football ground,265,15,15,0.7297297297297300,0.7365883588790890,0.7609890699386600,0.6745055317878720,1,1,1,1,1,1,1,0,1,0,1,1
58,Nutaarmiut / Population,first,,There is a graph with thick blue lines. They have the years across the bottom of the graph that are from 1991 to 2010. Each year has a thick blue line coming from it that has a number above the blue line. The lowest number on the graph is 126 with the highest number being 214.,3,1686619136652,1,prolific/train-0-89137.png,TRUE,english,"{'question1': 'False', 'question10': '$0.71', 'question11': '1 to 2', 'question12': 'False', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '17.6%', 'question6': 'Seoul', 'question7': '$4.5', 'question8': '$50.54', 'question9': '40.51 Mbps'}",634694a1401b066cb71e4c82,179117,Well,Mon Jun 12 2023 20:43:37 GMT-0400 (Eastern Daylight Time),1686617017321,35.3221833333333,Saqqaq,0,Mon Jun 12 2023 21:18:56 GMT-0400 (Eastern Daylight Time),10,60,Nutaarmiut population growth dynamics in the last two decades. Source: Statistics Greenland[2],Nutaarmiut population dynamics,277,17,3,0.5263157894736840,0.22897392511367800,0.20139504969120000,0.7758365869522100,1,1,1,1,1,1,1,1,0,0,1,1
59,Nutaarmiut / Population,second,,"There is a graph with thick blue lines that connect to a year and the growth that year had. Here is the and number for each year.
1991=126
1992=152
1993=163
1994=189
1995=188
1996=203
1997=212
1998=202
1999=211
2000=198
2001=196
2002=214
2003=185
2004=177
2005=180
2006=183
2007=190
2008=173
2009=173
2010=188",3,1686619136652,1,prolific/train-0-89137.png,TRUE,english,"{'question1': 'False', 'question10': '$0.71', 'question11': '1 to 2', 'question12': 'False', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '17.6%', 'question6': 'Seoul', 'question7': '$4.5', 'question8': '$50.54', 'question9': '40.51 Mbps'}",634694a1401b066cb71e4c82,318623,Well,Mon Jun 12 2023 20:43:37 GMT-0400 (Eastern Daylight Time),1686617017321,35.3221833333333,Saqqaq,0,Mon Jun 12 2023 21:18:56 GMT-0400 (Eastern Daylight Time),10,49,Nutaarmiut population growth dynamics in the last two decades. Source: Statistics Greenland[2],Nutaarmiut population dynamics,309,17,3,0.4883720930232560,0.39239323139190700,0.3255293369293210,0.7758365869522100,1,1,1,1,1,1,1,1,0,0,1,1
60,Bootham Crescent / Records,first,,There is a line graph. On the side it has the attendance number that goes from 0 to 25000. On the bottom of the graph is shows the years form 1932 to 2015. The graph shows that average attendance peaked in 1948 and 1954. The lowest average attendance was in 1932 and 2015. The attendance had a steady decline from 1948 to 2015.,4,1686619136652,1,prolific/train-0-62319.png,TRUE,english,"{'question1': 'False', 'question10': '$0.71', 'question11': '1 to 2', 'question12': 'False', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '17.6%', 'question6': 'Seoul', 'question7': '$4.5', 'question8': '$50.54', 'question9': '40.51 Mbps'}",634694a1401b066cb71e4c82,278417,Well,Mon Jun 12 2023 20:43:37 GMT-0400 (Eastern Daylight Time),1686617017321,35.3221833333333,Bootham Crescent,1,Mon Jun 12 2023 21:18:56 GMT-0400 (Eastern Daylight Time),10,69,York City's highest and average league attendances at Bootham Crescent from the 1932–33 season,Graph showing the highest and average league attendances at the Bootham Crescent association football ground,327,15,15,0.6153846153846150,0.4700072407722470,0.5978348851203920,0.6745055317878720,1,1,1,1,1,1,1,1,0,0,1,1
61,Federal political financing in Canada / Private funding / Cost of fundraising,first,,"The image is a graph with two separate parts to it.
On the left side of the graph it shows the funds raised from 0 to 30 million. On the bottom of the graph it shows the names of the parties. They are form left to right: Conservative Party, Liberal Party, New Democratic Party, and the last is Total(top 3 parties). The graph has two different color blocks representing different things. Grey=fundraising expenses
Blue=subsidized contributions raised.
Here is what the graph says for each party and then last the total for all.
Conservative Party: grey=7 million blue=17.7 million
Liberal Party: grey=2 million blue=9.06 million
New Democratic Party: grey=2 million blue= 4.01 million
Total(top 3 parties: grey=11.19 million blue=30.77 million",4,1686619136652,1,prolific/train-0-14152.png,TRUE,english,"{'question1': 'False', 'question10': '$0.71', 'question11': '1 to 2', 'question12': 'False', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '17.6%', 'question6': 'Seoul', 'question7': '$4.5', 'question8': '$50.54', 'question9': '40.51 Mbps'}",634694a1401b066cb71e4c82,672832,Well,Mon Jun 12 2023 20:43:37 GMT-0400 (Eastern Daylight Time),1686617017321,35.3221833333333,Federal political financing in Canada,2,Mon Jun 12 2023 21:18:56 GMT-0400 (Eastern Daylight Time),10,139,Party-level fundraising costs vs. party-level contributions raised at top three Canadian federal parties in 2009 (source: Elections Canada[4]),Party-level fundraising costs vs. party-level contributions raised at top three Canadian federal parties in 2009,743,24,15,0.5555555555555560,0.48158377408981300,0.48959317803382900,0.9773972630500790,1,1,1,1,1,1,1,1,0,0,1,1
62,Great Southern Group / Fall,first,,"Great Southern Group assets started at net assets and total assets below 200,000 in 1999. Both assets stayed around 200,000 till 2003. Net assets started to grow gradually to 800,000 in 2005. Total assets increased to 1,000,000 in 2005. Since then, net assets stayed the same around 800,000, total assets worth 1,800,000 in 2008.",4,1686619784041,1,prolific/train-0-105181.jpg,FALSE,Chinese,"{'question1': 'False', 'question10': '$0.71', 'question11': '1 to 2', 'question12': 'False', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '17.6%', 'question6': 'Shanghai', 'question7': '$6.1', 'question8': '$50.54', 'question9': '40.51 Mbps'}",614b76b790f0bdbc64a06cee,516353,Very little,Mon Jun 12 2023 20:55:19 GMT-0400 (Eastern Daylight Time),1686617719770,34.4045166666667,Great Southern Group,0,Mon Jun 12 2023 21:29:44 GMT-0400 (Eastern Daylight Time),12,61,"Great Southern Group's assets. Net assets were ultimately limited by the company's ""unsustainable levels"" of debt.[4]","area graph with years on the x-axis, ranging from 1999 to 2008, and thousands of dollars on the y-axis. Two areas are shown: net assets climb until 2005 then stay at a similar level to 2008, below the 800 million dollar line; gross assets climb above net assets and are still increasing in 2008, where they are near the 1.8 billion dollar line",329,25,70,0.5609756097560980,0.799030065536499,0.47618067264556900,0.34356820583343500,1,1,1,1,1,1,1,1,1,1,1,1
63,Nutaarmiut / Population,first,,"Nutaarmiut population varied over the time, with lowest 126 in 1991, highest 214 in 2002.",5,1686619784041,1,prolific/train-0-89137.png,FALSE,Chinese,"{'question1': 'False', 'question10': '$0.71', 'question11': '1 to 2', 'question12': 'False', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '17.6%', 'question6': 'Shanghai', 'question7': '$6.1', 'question8': '$50.54', 'question9': '40.51 Mbps'}",614b76b790f0bdbc64a06cee,194407,Very little,Mon Jun 12 2023 20:55:19 GMT-0400 (Eastern Daylight Time),1686617719770,34.4045166666667,Saqqaq,1,Mon Jun 12 2023 21:29:44 GMT-0400 (Eastern Daylight Time),12,18,Nutaarmiut population growth dynamics in the last two decades. Source: Statistics Greenland[2],Nutaarmiut population dynamics,90,17,3,0.5882352941176470,0.5938072204589840,0.7015308141708370,0.7758365869522100,1,1,1,1,1,1,1,1,1,1,1,1
